["'geoMean_acc_off_t3'", 0.5927857142857144]
["'arithMean_x_acc_off_t8'", 0.5923571428571428]
["'moments4_vel_off_t3'", 0.5917499999999999]
["'medians_acc_on_t8'", 0.5898571428571431]
["'trimMean40_strokespeed_t7'", 0.5896666666666668]
["'moments4_x_jerk_off_t2'", 0.589357142857143]
["'moments4_acc_off_t2'", 0.5891428571428572]
["'percentiles95_x_jerk_off_t3'", 0.58825]
["'moments5_x_acc_off_t3'", 0.5880714285714285]
["'ranges_vel_off_t2'", 0.5879999999999999]
["'moments5_x_vel_off_t3'", 0.5878928571428572]
["'moments4_jerk_off_t2'", 0.5873571428571427]
["'interQuartiles_vel_on_t8'", 0.5856071428571427]
["'speed_t8'", 0.5855000000000001]
["'geoMean_vel_on_t8'", 0.5851428571428573]
["'ranges_x_acc_off_t2'", 0.5848214285714285]
["'x_shannon_t8'", 0.5847142857142856]
["'rel_NCA_off_t2'", 0.5846785714285715]
["'robustRange_x_vel_on_t7'", 0.5845714285714285]
["'moments6_y_vel_off_t2'", 0.5825000000000002]
["'ranges_x_jerk_off_t2'", 0.5823571428571429]
["'geoMean_x_acc_off_t3'", 0.5822499999999998]
["'moments6_acc_off_t2'", 0.5820714285714287]
["'robustRange_x_vel_on_t7'", 0.5820357142857143]
["'arithMean_x_vel_off_t2'", 0.5816428571428572]
["'moments3_vel_on_t7'", 0.5809642857142856]
["'trimMean20_x_vel_on_t6'", 0.5808571428571428]
["'percentiles99_x_vel_on_t7'", 0.5799642857142857]
["'percentiles95_x_vel_off_t3'", 0.5798571428571428]
["'moments6_vel_off_t3'", 0.5794285714285716]
["'ranges_x_vel_off_t2'", 0.5784642857142859]
["'moments3_y_vel_off_t2'", 0.5784285714285713]
["'stdDevs_vel_on_t8'", 0.5774642857142854]
["'percentiles95_strokespeed_t8'", 0.5771428571428572]
["'moments6_y_acc_off_t2'", 0.576892857142857]
["'trimMean30_jerk_on_t8'", 0.5767142857142856]
["'moments6_x_vel_off_t2'", 0.5763928571428569]
["'geoMean_x_acc_off_t8'", 0.5759285714285715]
["'moments6_jerk_off_t3'", 0.5748571428571428]
["'geoMean_x_vel_on_t7'", 0.5746428571428571]
["'arithMean_acc_on_t8'", 0.5743214285714286]
["'trimMean5_x_vel_off_t8'", 0.5735714285714285]
["'interQuartiles_strokespeed_t8'", 0.5733214285714283]
["'trimMean5_strokespeed_t8'", 0.5732142857142858]
["'arithMean_strokespeed_t8'", 0.5731428571428572]
["'ranges_strokespeed_t8'", 0.5725357142857144]
["'percentiles95_x_acc_off_t2'", 0.5725000000000001]
["'stdDevs_vel_off_t8'", 0.5721428571428572]
["'percentiles95_jerk_on_t8'", 0.5721428571428571]
["'geoMean_x_vel_on_t7'", 0.5718928571428571]
["'moments6_acc_off_t3'", 0.5718571428571427]
["'robustRange_vel_on_t7'", 0.571464285714286]
["'moments3_jerk_off_t8'", 0.5714642857142856]
["'arithMean_x_vel_on_t7'", 0.5714642857142855]
["'percentiles90_strokespeed_t8'", 0.5711428571428571]
["'interQuartiles_x_vel_on_t6'", 0.5709285714285715]
["'moments3_acc_off_t8'", 0.5705714285714286]
["'moments6_x_vel_off_t3'", 0.5697499999999999]
["'percentiles99_strokespeed_t8'", 0.5690357142857142]
["'robustRange_x_vel_off_t3'", 0.568892857142857]
["'robustRange_strokespeed_t8'", 0.5681071428571428]
["'moments6_jerk_off_t2'", 0.5679642857142857]
["'percentiles90_jerk_on_t8'", 0.5674285714285713]
["'y_renyi2_i1_t2'", 0.5671071428571428]
["'percentiles99_x_vel_off_t3'", 0.5667500000000001]
["'arithMean_x_vel_on_t7'", 0.5666071428571429]
["'geoMean_y_vel_off_t1'", 0.5665714285714286]
["'arithMean_vel_off_t8'", 0.5665]
["'moments6_x_acc_off_t3'", 0.56575]
["'geoMean_vel_on_t7'", 0.5653571428571429]
["'moments6_x_acc_off_t2'", 0.5652142857142857]
["'interQuartiles_x_vel_on_t6'", 0.5645]
["'stdDevs_acc_off_t8'", 0.5644285714285714]
["'arithMean_x_vel_on_t6'", 0.5637142857142856]
["'moments6_x_jerk_off_t3'", 0.563357142857143]
["'percentiles95_acc_off_t2'", 0.5630714285714287]
["'y_renyi3_i1_t2'", 0.5625714285714283]
["'snr_itke2_x_t3'", 0.56225]
["'arithMean_x_vel_on_t6'", 0.5616071428571426]
["'interQuartiles_x_vel_on_t7'", 0.5615714285714286]
["'trimMean10_x_vel_off_t1'", 0.5614999999999999]
["'rel_NCV_on_t6'", 0.5606785714285716]
["'trimMean30_x_vel_on_t7'", 0.5601428571428572]
["'arithMean_x_jerk_off_t8'", 0.5597857142857143]
["'stdDevs_y_jerk_off_t2'", 0.559392857142857]
["'moments6_x_jerk_off_t2'", 0.5592857142857143]
["'percentiles99_vel_on_t7'", 0.55875]
["'kurto_y_vel_off_t2'", 0.5582499999999999]
["'percentiles95_x_acc_off_t8'", 0.5582499999999999]
["'interQuartiles_x_vel_on_t8'", 0.5580357142857142]
["'interQuartiles_x_vel_on_t7'", 0.5578928571428571]
["'trimMean10_strokespeed_t8'", 0.5578214285714285]
["'snr_itke1_x_t3'", 0.5576071428571427]
["'trimMean20_strokespeed_t8'", 0.5567857142857142]
["'interQuartiles_x_vel_on_t8'", 0.55675]
["'moments6_y_jerk_off_t2'", 0.5559999999999999]
["'stdDevs_y_acc_off_t2'", 0.5553214285714286]
["'geoMean_x_vel_off_t1'", 0.5547857142857143]
["'moments4_x_vel_on_t7'", 0.5547500000000001]
["'trimMean10_x_vel_off_t8'", 0.553]
["'percentiles95_vel_on_t8'", 0.5526785714285716]
["'robustRange_x_acc_off_t2'", 0.5523571428571428]
["'geoMean_acc_on_t8'", 0.551642857142857]
["'percentiles90_x_vel_off_t8'", 0.5493571428571429]
["'medians_jerk_on_t8'", 0.5488214285714288]
["'moments3_vel_off_t8'", 0.5487499999999998]
["'trimMean20_x_vel_on_t7'", 0.5485357142857145]
["'percentiles99_vel_off_t3'", 0.5475714285714287]
["'geoMean_vel_off_t1'", 0.5474642857142857]
["'trimMean30_strokespeed_t8'", 0.5471428571428572]
["'trimMean40_x_vel_on_t7'", 0.5458214285714287]
["'percentiles99_x_acc_off_t2'", 0.545607142857143]
["'robustRange_vel_off_t3'", 0.5440714285714285]
["'trimMean5_x_vel_on_t6'", 0.5433214285714285]
["'trimMean10_x_vel_on_t6'", 0.5423571428571426]
["'y_renyi3_i2_t7'", 0.5419999999999999]
["'geoMean_x_vel_on_t6'", 0.5412857142857144]
["'trimMean10_x_vel_on_t7'", 0.5404285714285713]
["'geoMean_x_vel_on_t6'", 0.5401785714285713]
["'percentiles95_x_vel_off_t8'", 0.5386071428571428]
["'stdDevs_x_acc_on_t8'", 0.5373571428571428]
["'percentiles99_x_vel_off_t2'", 0.5368571428571429]
["'ranges_y_acc_off_t2'", 0.5368571428571426]
["'trimMean10_y_vel_on_t8'", 0.5368571428571426]
["'trimMean5_x_vel_on_t7'", 0.5358928571428573]
["'trimMean40_strokespeed_t8'", 0.5357500000000001]
["'percentiles90_vel_off_t8'", 0.5352857142857145]
["'moments4_strokespeed_t8'", 0.5351071428571429]
["'ranges_y_jerk_off_t2'", 0.5344285714285715]
["'robustRange_vel_off_t2'", 0.5328928571428572]
["'robustRange_x_vel_off_t2'", 0.5328571428571428]
["'medians_strokespeed_t8'", 0.5325714285714288]
["'percentiles95_x_vel_on_t7'", 0.5309999999999999]
["'geoMean_y_vel_on_t8'", 0.529142857142857]
["'percentiles90_x_jerk_on_t8'", 0.5291071428571427]
["'percentiles99_vel_off_t2'", 0.5289285714285714]
["'geoMean_x_vel_off_t8'", 0.5283214285714287]
["'trimMean30_x_jerk_on_t8'", 0.5276428571428573]
["'interQuartiles_vel_on_t6'", 0.5259642857142857]
["'medians_x_vel_on_t7'", 0.5233928571428571]
["'arithMean_strokespeed_t7'", 0.5223214285714286]
["'trimMean20_x_jerk_on_t8'", 0.5212857142857142]
["'medians_x_vel_on_t7'", 0.5152142857142856]
["'ranges_y_vel_off_t2'", 0.515]
["'trimMean20_x_vel_off_t8'", 0.5143571428571428]
