['trimMean40_acc_on_t8', 0.4173333333333334]
['arithMean_x_acc_on_t8', 0.4143333333333334]
['trimMean5_y_acc_on_t8', 0.4098333333333333]
['trimMean30_acc_on_t8', 0.4076666666666667]
['trimMean10_y_acc_on_t8', 0.401]
['trimMean30_x_acc_off_t8', 0.3964999999999999]
['x_shannon_i2_t8', 0.3955]
['trimMean20_y_acc_on_t8', 0.3943333333333333]
['trimMean40_acc_off_t8', 0.3941666666666667]
['NCV_on_t8', 0.3931666666666667]
['trimMean5_x_acc_on_t8', 0.3771666666666667]
['snr_ice_x_t8', 0.36416666666666664]
['trimMean30_x_acc_on_t8', 0.36333333333333334]
['arithMean_x_jerk_on_t8', 0.3600000000000001]
['arithMean_jerk_on_t8', 0.3579999999999999]
['percentiles20_jerk_on_t8', 0.3533333333333333]
['medians_y_jerk_on_t8', 0.3526666666666667]
['percentiles30_jerk_on_t8', 0.3523333333333334]
['trimMean30_y_jerk_on_t8', 0.34633333333333327]
['trimMean10_y_jerk_on_t8', 0.34333333333333343]
['trimMean40_x_jerk_on_t8', 0.34166666666666673]
['trimMean10_x_acc_on_t8', 0.34166666666666656]
['trimMean5_y_jerk_on_t8', 0.33866666666666667]
['percentiles95_x_jerk_on_t8', 0.3381666666666667]
['trimMean10_jerk_on_t8', 0.33633333333333326]
['arithMean_y_jerk_on_t8', 0.336]
['x_shannon_i1_t8', 0.335]
['trimMean30_x_jerk_on_t8', 0.3348333333333333]
['percentiles25_jerk_on_t8', 0.3336666666666667]
['trimMean40_y_jerk_on_t8', 0.33333333333333326]
['trimMean10_x_jerk_on_t8', 0.3308333333333335]
['trimMean5_jerk_on_t8', 0.3303333333333333]
['trimMean20_y_jerk_on_t8', 0.3303333333333333]
['trimMean20_x_jerk_on_t8', 0.3293333333333333]
['percentiles90_jerk_on_t8', 0.3291666666666667]
['trimMean30_jerk_on_t8', 0.32866666666666683]
['percentiles95_jerk_on_t8', 0.326]
['moments6_strokespeed_t8', 0.3253333333333333]
['trimMean20_jerk_on_t8', 0.325]
['percentiles90_y_jerk_on_t8', 0.32266666666666666]
['trimMean5_x_jerk_on_t8', 0.3221666666666666]
['geoMean_y_acc_on_t8', 0.3215]
['trimMean40_jerk_on_t8', 0.3161666666666667]
['trimMean20_x_acc_on_t8', 0.3134999999999999]
['geoMean_y_jerk_on_t8', 0.3103333333333333]
['y_shannon_i1_t8', 0.30750000000000005]
['percentiles90_x_jerk_on_t8', 0.30616666666666675]
['percentiles95_y_jerk_on_t8', 0.3061666666666667]
['moments3_x_jerk_on_t8', 0.30516666666666664]
['medians_jerk_on_t8', 0.30366666666666664]
['geoMean_x_acc_on_t8', 0.30200000000000005]
['snr_tke2_x_t8', 0.302]
['interQuartiles_y_jerk_on_t8', 0.30149999999999993]
['snr_ce_y_t8', 0.2983333333333333]
['percentiles1_pressure_rate_t8', 0.29633333333333334]
['snr_ice_y_t8', 0.29583333333333334]
['snr_ce_x_t8', 0.2940000000000001]
['snr_tke1_x_t8', 0.2868333333333334]
