["'stdDevs_x_vel_on_t8'", 0.6073333333333332]
["'y_renyi3_i2_t8'", 0.6066666666666667]
["'x_renyi3_i2_t3'", 0.6054999999999999]
["'stdDevs_x_vel_on_t8'", 0.6050000000000001]
["'medians_x_vel_off_t8'", 0.604833333333333]
["'medians_y_vel_on_t8'", 0.6034999999999999]
["'trimMean10_strokespeed_t8'", 0.6018333333333334]
["'stdDevs_x_vel_on_t6'", 0.5994999999999999]
["'y_renyi2_i2_t2'", 0.5986666666666665]
["'ranges_x_vel_on_t8'", 0.5968333333333331]
["'trimMean5_strokespeed_t8'", 0.5956666666666665]
["'geoMean_x_vel_on_t6'", 0.5943333333333332]
["'trimMean40_y_acc_on_t8'", 0.5930000000000002]
["'geoMean_x_vel_off_t8'", 0.5918333333333333]
["'interQuartiles_x_vel_on_t8'", 0.5913333333333334]
["'ranges_x_vel_on_t8'", 0.5908333333333333]
["'percentiles95_vel_off_t8'", 0.5908333333333333]
["'medians_x_vel_on_t7'", 0.5886666666666666]
["'percentiles90_x_vel_on_t8'", 0.5876666666666664]
["'stdDevs_x_vel_on_t6'", 0.5873333333333334]
["'interQuartiles_vel_on_t8'", 0.5871666666666666]
["'percentiles99_x_vel_on_t8'", 0.5863333333333334]
["'moments4_x_vel_on_t8'", 0.5846666666666666]
["'snr_itke1_y_t8'", 0.5844999999999999]
["'robustRange_x_vel_on_t8'", 0.5838333333333333]
["'medians_x_vel_on_t7'", 0.5826666666666666]
["'robustRange_x_vel_on_t8'", 0.5823333333333334]
["'rel_NCP_t8'", 0.5818333333333334]
["'moments3_x_vel_on_t8'", 0.5816666666666662]
["'trimMean40_x_vel_on_t7'", 0.5770000000000002]
["'interQuartiles_pressure_rate_t8'", 0.5760000000000001]
["'percentiles10_strokespeed_t3'", 0.5758333333333333]
["'percentiles95_x_vel_on_t8'", 0.5739999999999997]
["'interQuartiles_x_vel_on_t8'", 0.5728333333333331]
["'percentiles90_vel_on_t8'", 0.5673333333333335]
["'percentiles95_x_vel_on_t6'", 0.5666666666666669]
["'arithMean_y_acc_off_t8'", 0.5661666666666667]
["'percentiles95_x_acc_off_t8'", 0.5658333333333333]
["'interQuartiles_x_vel_on_t7'", 0.5628333333333331]
["'trimMean5_vel_off_t8'", 0.5626666666666665]
["'trimMean30_x_vel_on_t7'", 0.5615000000000001]
["'x_renyi3_i2_t6'", 0.5608333333333334]
["'percentiles90_vel_off_t8'", 0.5586666666666666]
["'y_renyi3_i2_t4'", 0.5586666666666665]
["'arithMean_acc_on_t8'", 0.5585]
["'geoMean_vel_off_t8'", 0.5576666666666665]
["'medians_vel_off_t8'", 0.5574999999999999]
["'moments4_x_vel_on_t6'", 0.5573333333333331]
["'trimMean5_acc_on_t8'", 0.5556666666666668]
["'trimMean40_x_acc_on_t8'", 0.5553333333333333]
["'percentiles1_strokespeed_t3'", 0.555]
["'percentiles95_vel_on_t8'", 0.5546666666666666]
["'percentiles95_y_vel_on_t8'", 0.5546666666666666]
["'percentiles95_acc_off_t8'", 0.5538333333333335]
["'robustRange_vel_off_t8'", 0.5529999999999999]
["'trimMean10_vel_off_t8'", 0.5526666666666666]
["'interQuartiles_vel_off_t8'", 0.5526666666666665]
["'percentiles99_vel_off_t8'", 0.5525000000000001]
["'percentiles5_strokespeed_t3'", 0.5519999999999998]
["'percentiles30_y_vel_on_t8'", 0.5515000000000001]
["'interQuartiles_vel_on_t7'", 0.5498333333333334]
["'trimMean40_pressure_rate_t8'", 0.5496666666666666]
["'interQuartiles_x_vel_on_t7'", 0.5490000000000002]
["'percentiles95_x_vel_off_t8'", 0.5479999999999999]
